 0 ,  1 ,  2 ,  3 ,  4 ,  5 ,  6 ,  7 ,  8 ,  9 ,  10 ,  11 ,  12 ,  13 ,  14 ,  15 ,  16 ,  17 ,  18 ,  19 ,  20 ,  21 ,  22 ,  23 ,  24 ,  25 ,  26 ,  27 ,  28 ,  29 ,  30 ,  31 ,  32 ,  33 ,  34 ,  35 ,  36 ,  37 ,  38 ,  39 ,  40 ,  41 ,  42 ,  43 ,  44 ,  45 ,  46 ,  47 ,  48 ,  49 ,  50 ,  51 ,  52 ,  53 ,  54 ,  55 ,  56 ,  57 ,  58 ,  59 ,  60 ,  61 ,  62 ,  63 ,  64 ,  65 ,  66 ,  67 ,  68 ,  69 ,  70 ,  71 ,  72 ,  73 ,  74 ,  75 ,  76 ,  77 ,  78 ,  79 ,  80 ,  81 ,  82 ,  83 ,  84 ,  85 ,  86 ,  87 ,  88 ,  89 ,  90 ,  91 ,  92 ,  93 ,  94 ,  95 ,  96 ,  97 ,  98 ,  99 ,  100 ,  
  0.0 ,  12.730000000000018 ,  25.45999999999998 ,  38.19 ,  50.920000000000016 ,  63.64999999999998 ,  76.38 ,  89.11000000000001 ,  101.84000000000003 ,  114.57 ,  127.30000000000001 ,  140.02999999999997 ,  152.76 ,  165.49 ,  178.22000000000003 ,  190.95000000000005 ,  203.68 ,  216.40999999999997 ,  229.14 ,  241.87 ,  254.60000000000002 ,  267.3299999999999 ,  280.05999999999995 ,  292.78999999999996 ,  305.52 ,  318.25 ,  330.98 ,  343.71000000000004 ,  356.44000000000005 ,  369.1700000000001 ,  381.9000000000001 ,  394.63 ,  407.36 ,  420.09000000000003 ,  432.81999999999994 ,  445.54999999999995 ,  458.28 ,  471.01 ,  483.74 ,  496.47 ,  509.20000000000005 ,  521.9300000000001 ,  534.66 ,  547.39 ,  560.12 ,  572.85 ,  585.58 ,  598.3100000000001 ,  611.04 ,  623.77 ,  636.5 ,  623.77 ,  611.04 ,  598.31 ,  585.5799999999999 ,  572.8499999999999 ,  560.1199999999999 ,  547.3899999999999 ,  534.6600000000001 ,  521.9300000000001 ,  509.20000000000005 ,  496.47 ,  483.74 ,  471.01 ,  458.28 ,  445.54999999999995 ,  432.81999999999994 ,  420.0899999999999 ,  407.3599999999999 ,  394.6299999999999 ,  381.89999999999986 ,  369.1700000000001 ,  356.44000000000005 ,  343.71000000000004 ,  330.98 ,  318.25 ,  305.52 ,  292.78999999999996 ,  280.05999999999995 ,  267.3299999999999 ,  254.5999999999999 ,  241.8699999999999 ,  229.13999999999993 ,  216.4099999999999 ,  203.68000000000006 ,  190.95000000000005 ,  178.22000000000003 ,  165.49 ,  152.76 ,  140.02999999999997 ,  127.29999999999995 ,  114.56999999999994 ,  101.83999999999992 ,  89.10999999999996 ,  76.37999999999994 ,  63.64999999999992 ,  50.92000000000007 ,  38.190000000000055 ,  25.460000000000036 ,  12.730000000000018 ,  0.0 ,  
  0.0 ,  12.730000000000018 ,  25.45999999999998 ,  38.19 ,  50.920000000000016 ,  63.64999999999998 ,  76.38 ,  89.11000000000001 ,  101.84000000000003 ,  114.57 ,  127.30000000000001 ,  140.02999999999997 ,  152.76 ,  165.49 ,  178.22000000000003 ,  190.95000000000005 ,  203.68 ,  216.40999999999997 ,  229.14 ,  241.87 ,  254.60000000000002 ,  267.3299999999999 ,  280.05999999999995 ,  292.78999999999996 ,  305.52 ,  318.25 ,  330.98 ,  343.71000000000004 ,  356.44000000000005 ,  369.1700000000001 ,  381.9000000000001 ,  394.63 ,  407.36 ,  420.09000000000003 ,  432.81999999999994 ,  445.54999999999995 ,  458.28 ,  471.01 ,  483.74 ,  496.47 ,  509.20000000000005 ,  521.9300000000001 ,  534.6599999998969 ,  547.3899999959388 ,  560.1199998609821 ,  572.849995833088 ,  585.5798927106672 ,  598.3076885386935 ,  610.9998488826866 ,  623.2383143694749 ,  631.6119536171559 ,  623.2383143694749 ,  610.9998488826866 ,  598.3076885386935 ,  585.5798927106672 ,  572.849995833088 ,  560.119999860982 ,  547.3899999959386 ,  534.659999999897 ,  521.9300000000001 ,  509.20000000000005 ,  496.47 ,  483.74 ,  471.01 ,  458.28 ,  445.54999999999995 ,  432.81999999999994 ,  420.0899999999999 ,  407.3599999999999 ,  394.6299999999999 ,  381.89999999999986 ,  369.1700000000001 ,  356.44000000000005 ,  343.71000000000004 ,  330.98 ,  318.25 ,  305.52 ,  292.78999999999996 ,  280.05999999999995 ,  267.3299999999999 ,  254.5999999999999 ,  241.8699999999999 ,  229.13999999999993 ,  216.4099999999999 ,  203.68000000000006 ,  190.95000000000005 ,  178.22000000000003 ,  165.49 ,  152.76 ,  140.02999999999997 ,  127.29999999999995 ,  114.56999999999994 ,  101.83999999999992 ,  89.10999999999996 ,  76.37999999999994 ,  63.64999999999992 ,  50.92000000000007 ,  38.190000000000055 ,  25.460000000000036 ,  12.730000000000018 ,  0.0 ,  
  0.0 ,  12.730000000000018 ,  25.45999999999998 ,  38.19 ,  50.920000000000016 ,  63.64999999999998 ,  76.38 ,  89.11000000000001 ,  101.84000000000003 ,  114.57 ,  127.30000000000001 ,  140.02999999999997 ,  152.76 ,  165.49 ,  178.22000000000003 ,  190.95000000000005 ,  203.68 ,  216.40999999999997 ,  229.14 ,  241.87 ,  254.60000000000002 ,  267.3299999999999 ,  280.05999999999995 ,  292.78999999999996 ,  305.52 ,  318.25 ,  330.98 ,  343.71000000000004 ,  356.44000000000005 ,  369.1700000000001 ,  381.9000000000001 ,  394.63 ,  407.36 ,  420.09000000000003 ,  432.81999999999994 ,  445.54999999999995 ,  458.28 ,  471.01 ,  483.74 ,  496.47 ,  509.1999999999317 ,  521.9299999982948 ,  534.6599999634335 ,  547.3899992941721 ,  560.1199878562583 ,  572.8498164131182 ,  585.5776054966117 ,  598.2836965375669 ,  610.8045232852608 ,  622.1309056666258 ,  628.233798977487 ,  622.1309056666258 ,  610.8045232852608 ,  598.2836965375669 ,  585.5776054966117 ,  572.8498164131182 ,  560.1199878562583 ,  547.3899992941721 ,  534.6599999634336 ,  521.9299999982948 ,  509.1999999999317 ,  496.47 ,  483.74 ,  471.01 ,  458.28 ,  445.54999999999995 ,  432.81999999999994 ,  420.0899999999999 ,  407.3599999999999 ,  394.6299999999999 ,  381.89999999999986 ,  369.1700000000001 ,  356.44000000000005 ,  343.71000000000004 ,  330.98 ,  318.25 ,  305.52 ,  292.78999999999996 ,  280.05999999999995 ,  267.3299999999999 ,  254.5999999999999 ,  241.8699999999999 ,  229.13999999999993 ,  216.4099999999999 ,  203.68000000000006 ,  190.95000000000005 ,  178.22000000000003 ,  165.49 ,  152.76 ,  140.02999999999997 ,  127.29999999999995 ,  114.56999999999994 ,  101.83999999999992 ,  89.10999999999996 ,  76.37999999999994 ,  63.64999999999992 ,  50.92000000000007 ,  38.190000000000055 ,  25.460000000000036 ,  12.730000000000018 ,  0.0 ,  
  0.0 ,  12.730000000000018 ,  25.45999999999998 ,  38.19 ,  50.920000000000016 ,  63.64999999999998 ,  76.38 ,  89.11000000000001 ,  101.84000000000003 ,  114.57 ,  127.30000000000001 ,  140.02999999999997 ,  152.76 ,  165.49 ,  178.22000000000003 ,  190.95000000000005 ,  203.68 ,  216.40999999999997 ,  229.14 ,  241.87 ,  254.60000000000002 ,  267.3299999999999 ,  280.05999999999995 ,  292.78999999999996 ,  305.52 ,  318.25 ,  330.98 ,  343.71000000000004 ,  356.44000000000005 ,  369.1700000000001 ,  381.9000000000001 ,  394.63 ,  407.36 ,  420.09000000000003 ,  432.81999999999994 ,  445.54999999999995 ,  458.28 ,  471.01 ,  483.74 ,  496.4699999997599 ,  509.199999995796 ,  521.9299999337536 ,  534.6599990493975 ,  547.3899876790706 ,  560.1198573264154 ,  572.8485437273122 ,  585.5671177565873 ,  598.2133597067057 ,  610.4424883037802 ,  620.8395715793135 ,  625.6684518842707 ,  620.8395715793135 ,  610.4424883037802 ,  598.2133597067057 ,  585.5671177565873 ,  572.8485437273122 ,  560.1198573264154 ,  547.3899876790706 ,  534.6599990493976 ,  521.9299999337537 ,  509.19999999579613 ,  496.4699999997599 ,  483.74 ,  471.01 ,  458.28 ,  445.54999999999995 ,  432.81999999999994 ,  420.0899999999999 ,  407.3599999999999 ,  394.6299999999999 ,  381.89999999999986 ,  369.1700000000001 ,  356.44000000000005 ,  343.71000000000004 ,  330.98 ,  318.25 ,  305.52 ,  292.78999999999996 ,  280.05999999999995 ,  267.3299999999999 ,  254.5999999999999 ,  241.8699999999999 ,  229.13999999999993 ,  216.4099999999999 ,  203.68000000000006 ,  190.95000000000005 ,  178.22000000000003 ,  165.49 ,  152.76 ,  140.02999999999997 ,  127.29999999999995 ,  114.56999999999994 ,  101.83999999999992 ,  89.10999999999996 ,  76.37999999999994 ,  63.64999999999992 ,  50.92000000000007 ,  38.190000000000055 ,  25.460000000000036 ,  12.730000000000018 ,  0.0 ,  
  0.0 ,  12.730000000000018 ,  25.45999999999998 ,  38.19 ,  50.920000000000016 ,  63.64999999999998 ,  76.38 ,  89.11000000000001 ,  101.84000000000003 ,  114.57 ,  127.30000000000001 ,  140.02999999999997 ,  152.76 ,  165.49 ,  178.22000000000003 ,  190.95000000000005 ,  203.68 ,  216.40999999999997 ,  229.14 ,  241.87 ,  254.60000000000002 ,  267.3299999999999 ,  280.05999999999995 ,  292.78999999999996 ,  305.52 ,  318.25 ,  330.98 ,  343.71000000000004 ,  356.44000000000005 ,  369.1700000000001 ,  381.9000000000001 ,  394.63 ,  407.36 ,  420.09000000000003 ,  432.81999999999994 ,  445.54999999999995 ,  458.28 ,  471.00999999998396 ,  483.7399999996346 ,  496.4699999948135 ,  509.19999993294437 ,  521.9299992035687 ,  534.6599913661074 ,  547.3899153016092 ,  560.1192558522582 ,  572.8442176358807 ,  585.5408707374545 ,  598.0838111403995 ,  609.9499040234116 ,  619.5209791096519 ,  623.5758474046231 ,  619.5209791096519 ,  609.9499040234116 ,  598.0838111403995 ,  585.5408707374545 ,  572.8442176358807 ,  560.1192558522582 ,  547.3899153016093 ,  534.6599913661075 ,  521.9299992035689 ,  509.1999999329445 ,  496.4699999948135 ,  483.7399999996346 ,  471.00999999998396 ,  458.28 ,  445.54999999999995 ,  432.81999999999994 ,  420.0899999999999 ,  407.3599999999999 ,  394.6299999999999 ,  381.89999999999986 ,  369.1700000000001 ,  356.44000000000005 ,  343.71000000000004 ,  330.98 ,  318.25 ,  305.52 ,  292.78999999999996 ,  280.05999999999995 ,  267.3299999999999 ,  254.5999999999999 ,  241.8699999999999 ,  229.13999999999993 ,  216.4099999999999 ,  203.68000000000006 ,  190.95000000000005 ,  178.22000000000003 ,  165.49 ,  152.76 ,  140.02999999999997 ,  127.29999999999995 ,  114.56999999999994 ,  101.83999999999992 ,  89.10999999999996 ,  76.37999999999994 ,  63.64999999999992 ,  50.92000000000007 ,  38.190000000000055 ,  25.460000000000036 ,  12.730000000000018 ,  0.0 ,  
  0.0 ,  12.730000000000018 ,  25.45999999999998 ,  38.19 ,  50.920000000000016 ,  63.64999999999998 ,  76.38 ,  89.11000000000001 ,  101.84000000000003 ,  114.57 ,  127.30000000000001 ,  140.02999999999997 ,  152.76 ,  165.49 ,  178.22000000000003 ,  190.95000000000005 ,  203.68 ,  216.40999999999997 ,  229.14 ,  241.87 ,  254.60000000000002 ,  267.3299999999999 ,  280.05999999999995 ,  292.78999999999996 ,  305.52 ,  318.25 ,  330.98 ,  343.71000000000004 ,  356.44000000000005 ,  369.1700000000001 ,  381.9000000000001 ,  394.63 ,  407.36 ,  420.09000000000003 ,  432.81999999999994 ,  445.54999999999995 ,  458.27999999998053 ,  471.0099999996306 ,  483.7399999954673 ,  496.469999949065 ,  509.1999994705503 ,  521.9299949339755 ,  534.6599556873289 ,  547.3896485612231 ,  560.1174972317151 ,  572.8341799249039 ,  585.492471491125 ,  597.8932222796462 ,  609.3664097725793 ,  618.2346504543459 ,  621.7811104970018 ,  618.2346504543459 ,  609.3664097725793 ,  597.8932222796462 ,  585.492471491125 ,  572.8341799249039 ,  560.1174972317152 ,  547.3896485612232 ,  534.659955687329 ,  521.9299949339758 ,  509.19999947055044 ,  496.46999994906514 ,  483.7399999954673 ,  471.0099999996306 ,  458.27999999998053 ,  445.54999999999995 ,  432.81999999999994 ,  420.0899999999999 ,  407.3599999999999 ,  394.6299999999999 ,  381.89999999999986 ,  369.1700000000001 ,  356.44000000000005 ,  343.71000000000004 ,  330.98 ,  318.25 ,  305.52 ,  292.78999999999996 ,  280.05999999999995 ,  267.3299999999999 ,  254.5999999999999 ,  241.8699999999999 ,  229.13999999999993 ,  216.4099999999999 ,  203.68000000000006 ,  190.95000000000005 ,  178.22000000000003 ,  165.49 ,  152.76 ,  140.02999999999997 ,  127.29999999999995 ,  114.56999999999994 ,  101.83999999999992 ,  89.10999999999996 ,  76.37999999999994 ,  63.64999999999992 ,  50.92000000000007 ,  38.190000000000055 ,  25.460000000000036 ,  12.730000000000018 ,  0.0 ,  
  0.0 ,  12.730000000000018 ,  25.45999999999998 ,  38.19 ,  50.920000000000016 ,  63.64999999999998 ,  76.38 ,  89.11000000000001 ,  101.84000000000003 ,  114.57 ,  127.30000000000001 ,  140.02999999999997 ,  152.76 ,  165.49 ,  178.22000000000003 ,  190.95000000000005 ,  203.68 ,  216.40999999999997 ,  229.14 ,  241.87 ,  254.60000000000002 ,  267.3299999999999 ,  280.05999999999995 ,  292.78999999999996 ,  305.52 ,  318.25 ,  330.98 ,  343.71000000000004 ,  356.44000000000005 ,  369.1700000000001 ,  381.9000000000001 ,  394.63 ,  407.36 ,  420.09000000000003 ,  432.81999999999994 ,  445.5499999999896 ,  458.27999999970734 ,  471.00999999675776 ,  483.73999996720124 ,  496.46999969144883 ,  509.1999973094379 ,  521.9299783745984 ,  534.6598408507722 ,  547.3889358323082 ,  560.1135929051683 ,  572.8156321660653 ,  585.4177967921906 ,  597.6462097575699 ,  608.7236903274414 ,  617.000284049784 ,  620.1886879592203 ,  617.000284049784 ,  608.7236903274414 ,  597.6462097575699 ,  585.4177967921906 ,  572.8156321660653 ,  560.1135929051683 ,  547.3889358323083 ,  534.6598408507723 ,  521.9299783745986 ,  509.199997309438 ,  496.46999969144895 ,  483.73999996720136 ,  471.00999999675776 ,  458.27999999970734 ,  445.5499999999896 ,  432.81999999999994 ,  420.0899999999999 ,  407.3599999999999 ,  394.6299999999999 ,  381.89999999999986 ,  369.1700000000001 ,  356.44000000000005 ,  343.71000000000004 ,  330.98 ,  318.25 ,  305.52 ,  292.78999999999996 ,  280.05999999999995 ,  267.3299999999999 ,  254.5999999999999 ,  241.8699999999999 ,  229.13999999999993 ,  216.4099999999999 ,  203.68000000000006 ,  190.95000000000005 ,  178.22000000000003 ,  165.49 ,  152.76 ,  140.02999999999997 ,  127.29999999999995 ,  114.56999999999994 ,  101.83999999999992 ,  89.10999999999996 ,  76.37999999999994 ,  63.64999999999992 ,  50.92000000000007 ,  38.190000000000055 ,  25.460000000000036 ,  12.730000000000018 ,  0.0 ,  
  0.0 ,  12.730000000000018 ,  25.45999999999998 ,  38.19 ,  50.920000000000016 ,  63.64999999999998 ,  76.38 ,  89.11000000000001 ,  101.84000000000003 ,  114.57 ,  127.30000000000001 ,  140.02999999999997 ,  152.76 ,  165.49 ,  178.22000000000003 ,  190.95000000000005 ,  203.68 ,  216.40999999999997 ,  229.14 ,  241.87 ,  254.60000000000002 ,  267.3299999999999 ,  280.05999999999995 ,  292.78999999999996 ,  305.52 ,  318.25 ,  330.98 ,  343.71000000000004 ,  356.44000000000005 ,  369.1700000000001 ,  381.9000000000001 ,  394.63 ,  407.36 ,  420.09000000000003 ,  432.81999999999994 ,  445.5499999998017 ,  458.2799999979587 ,  471.0099999809738 ,  483.7399998344175 ,  496.46999865650173 ,  509.1999898834192 ,  521.9299296891164 ,  534.6595518037909 ,  547.3873984790806 ,  560.1063643512296 ,  572.786080935263 ,  585.3149768511418 ,  597.3501619398523 ,  608.0445285535349 ,  615.8216140642404 ,  618.7428479594997 ,  615.8216140642404 ,  608.0445285535349 ,  597.3501619398523 ,  585.3149768511418 ,  572.7860809352632 ,  560.1063643512297 ,  547.3873984790807 ,  534.659551803791 ,  521.9299296891166 ,  509.19998988341933 ,  496.46999865650184 ,  483.73999983441763 ,  471.00999998097393 ,  458.2799999979587 ,  445.5499999998017 ,  432.81999999999994 ,  420.0899999999999 ,  407.3599999999999 ,  394.6299999999999 ,  381.89999999999986 ,  369.1700000000001 ,  356.44000000000005 ,  343.71000000000004 ,  330.98 ,  318.25 ,  305.52 ,  292.78999999999996 ,  280.05999999999995 ,  267.3299999999999 ,  254.5999999999999 ,  241.8699999999999 ,  229.13999999999993 ,  216.4099999999999 ,  203.68000000000006 ,  190.95000000000005 ,  178.22000000000003 ,  165.49 ,  152.76 ,  140.02999999999997 ,  127.29999999999995 ,  114.56999999999994 ,  101.83999999999992 ,  89.10999999999996 ,  76.37999999999994 ,  63.64999999999992 ,  50.92000000000007 ,  38.190000000000055 ,  25.460000000000036 ,  12.730000000000018 ,  0.0 ,  
  0.0 ,  12.730000000000018 ,  25.45999999999998 ,  38.19 ,  50.920000000000016 ,  63.64999999999998 ,  76.38 ,  89.11000000000001 ,  101.84000000000003 ,  114.57 ,  127.30000000000001 ,  140.02999999999997 ,  152.76 ,  165.49 ,  178.22000000000003 ,  190.95000000000005 ,  203.68 ,  216.40999999999997 ,  229.14 ,  241.87 ,  254.60000000000002 ,  267.3299999999999 ,  280.05999999999995 ,  292.78999999999996 ,  305.52 ,  318.25 ,  330.98 ,  343.71000000000004 ,  356.44000000000005 ,  369.1700000000001 ,  381.9000000000001 ,  394.63 ,  407.36 ,  420.09000000000003 ,  432.8199999998775 ,  445.54999999882307 ,  458.27999998971507 ,  471.0099999159096 ,  483.7399993559561 ,  496.4699953957787 ,  509.1999694172607 ,  521.929812240325 ,  534.6589408563706 ,  547.3845474015553 ,  560.0945775603939 ,  572.7435801134186 ,  585.1839098899535 ,  597.0130562279332 ,  607.344576233607 ,  614.6963230028917 ,  617.4088968006058 ,  614.6963230028917 ,  607.344576233607 ,  597.0130562279332 ,  585.1839098899535 ,  572.7435801134187 ,  560.094577560394 ,  547.3845474015556 ,  534.6589408563707 ,  521.9298122403252 ,  509.19996941726083 ,  496.4699953957788 ,  483.73999935595623 ,  471.0099999159097 ,  458.27999998971507 ,  445.54999999882307 ,  432.8199999998774 ,  420.0899999999999 ,  407.3599999999999 ,  394.6299999999999 ,  381.89999999999986 ,  369.1700000000001 ,  356.44000000000005 ,  343.71000000000004 ,  330.98 ,  318.25 ,  305.52 ,  292.78999999999996 ,  280.05999999999995 ,  267.3299999999999 ,  254.5999999999999 ,  241.8699999999999 ,  229.13999999999993 ,  216.4099999999999 ,  203.68000000000006 ,  190.95000000000005 ,  178.22000000000003 ,  165.49 ,  152.76 ,  140.02999999999997 ,  127.29999999999995 ,  114.56999999999994 ,  101.83999999999992 ,  89.10999999999996 ,  76.37999999999994 ,  63.64999999999992 ,  50.92000000000007 ,  38.190000000000055 ,  25.460000000000036 ,  12.730000000000018 ,  0.0 ,  
  0.0 ,  12.730000000000018 ,  25.45999999999998 ,  38.19 ,  50.920000000000016 ,  63.64999999999998 ,  76.38 ,  89.11000000000001 ,  101.84000000000003 ,  114.57 ,  127.30000000000001 ,  140.02999999999997 ,  152.76 ,  165.49 ,  178.22000000000003 ,  190.95000000000005 ,  203.68 ,  216.40999999999997 ,  229.14 ,  241.87 ,  254.60000000000002 ,  267.3299999999999 ,  280.05999999999995 ,  292.78999999999996 ,  305.52 ,  318.25 ,  330.98 ,  343.71000000000004 ,  356.44000000000005 ,  369.1700000000001 ,  381.9000000000001 ,  394.63 ,  407.36 ,  420.08999999993114 ,  432.81999999936477 ,  445.5499999947119 ,  458.27999995891855 ,  471.00999969988595 ,  483.73999794357496 ,  496.4699868339187 ,  509.19992158498314 ,  521.9295677003438 ,  534.6578062235204 ,  547.3798163665372 ,  560.0770590957037 ,  572.6868016063855 ,  585.0256946216589 ,  596.6423741151165 ,  606.6343632926154 ,  613.6201190004806 ,  616.163889924861 ,  613.6201190004806 ,  606.6343632926154 ,  596.6423741151165 ,  585.0256946216589 ,  572.6868016063856 ,  560.0770590957038 ,  547.3798163665373 ,  534.6578062235205 ,  521.929567700344 ,  509.19992158498326 ,  496.4699868339188 ,  483.7399979435751 ,  471.00999969988607 ,  458.27999995891855 ,  445.5499999947118 ,  432.81999999936465 ,  420.089999999931 ,  407.3599999999999 ,  394.6299999999999 ,  381.89999999999986 ,  369.1700000000001 ,  356.44000000000005 ,  343.71000000000004 ,  330.98 ,  318.25 ,  305.52 ,  292.78999999999996 ,  280.05999999999995 ,  267.3299999999999 ,  254.5999999999999 ,  241.8699999999999 ,  229.13999999999993 ,  216.4099999999999 ,  203.68000000000006 ,  190.95000000000005 ,  178.22000000000003 ,  165.49 ,  152.76 ,  140.02999999999997 ,  127.29999999999995 ,  114.56999999999994 ,  101.83999999999992 ,  89.10999999999996 ,  76.37999999999994 ,  63.64999999999992 ,  50.92000000000007 ,  38.190000000000055 ,  25.460000000000036 ,  12.730000000000018 ,  0.0 ,  
